genre,music_id
Classical,4810274
Classical,4810446
Classical,4811536
Classical,4811958
Classical,4814038
Classical,4818780
Classical,4821878
Classical,4826725
Classical,4836471
Classical,4841156
Classical,4845387
Classical,4853908
Classical,4854023
Classical,4854776
Classical,4858450
Classical,4864386
Classical,4866688
Classical,4868766
Classical,4873485
Classical,4879864
Classical,4881673
Classical,4883794
Classical,4890545
Classical,4891567
Classical,4892542
Classical,4893620
Classical,4899848
Classical,4901201
Classical,4901700
Classical,4905420
Classical,4907304
Classical,4910730
Classical,4939446
Classical,4941073
Classical,4942207
Classical,4951565
Classical,4974773
Classical,4980566
Classical,4982298
Classical,4982412
Classical,4982984
Classical,4990889
Classical,4997485
Classical,4997558
Classical,5004571
Classical,5027545
Classical,5033471
Classical,5038709
Classical,5046681
Classical,5051761
Classical,5054890
Classical,5058536
Classical,5063369
Classical,5065614
Classical,5073285
Classical,5076861
Classical,5077352
Classical,5077553
Classical,5095297
Classical,5100571
Classical,5100762
Classical,5105348
Classical,5105405
Classical,5108847
Classical,5111068
Classical,5119837
Classical,5122742
Classical,5125937
Classical,5131763
Classical,5136919
Classical,5137595
Classical,5143134
Classical,5143903
Classical,5143927
Classical,5147062
Classical,5149814
Classical,5154106
Classical,5154865
Classical,5157940
Classical,5161146
Classical,5165336
Classical,5171003
Classical,5173190
Classical,5174392
Classical,5177752
Classical,5178145
Classical,5178291
Classical,5179108
Classical,5179301
Classical,5183742
Classical,5188169
Classical,5190964
Classical,5193537
Classical,5196514
Classical,5200517
Classical,5210449
Classical,5215854
Classical,5223326
Classical,5231813
Classical,5244260
Classical,5246403
Classical,5247455
Classical,5255481
Classical,5258245
Classical,5260233
Classical,5262237
Classical,5268304
Classical,5271023
Classical,5272414
Classical,5274100
Classical,5281944
Classical,5285384
Classical,5286801
Classical,5290059
Classical,5294675
Classical,5305991
Classical,5307493
Classical,5308975
Classical,5309434
Classical,5316979
Classical,5320866
Classical,5324719
Classical,5333841
Classical,5336314
Classical,5351473
Classical,5363445
Classical,5367340
Classical,5367341
Classical,5369968
Classical,5370204
Classical,5373866
Classical,5375226
Classical,5378005
Classical,5382356
Classical,5396728
Classical,5398515
Classical,5418894
Classical,5421848
Classical,5422442
Classical,5435873
Classical,5435987
Classical,5439790
Classical,5444619
Classical,5452340
Classical,5467064
Classical,5470730
Classical,5482857
Classical,5485466
Classical,5487976
Classical,5489821
Classical,5490785
Classical,5495876
Classical,5497267
Classical,5497268
Classical,5497277
Classical,5497288
Classical,5497309
Classical,5498538
Classical,5513326
Classical,5520652
Classical,5522509
Classical,5523925
Classical,5535580
Classical,5536189
Classical,5537228
Classical,5541886
Classical,5549583
Classical,5549919
Classical,5550189
Classical,5563700
Classical,5582243
Classical,5585485
Classical,5587994
Classical,5588565
Classical,5588586
Classical,5590901
Classical,5592161
Classical,5596771
Classical,5602522
